sim mode,gamma,epsilon,beta,seed,mean lifetime,
hi,0.2,0.85,0.50794,5,1145,
hi,0.2,0.85,0.50794,6,1145,
hi,0.2,0.85,0.50794,7,1154,
hi,0.2,0.85,0.50794,8,1145,
hi,0.2,0.85,0.50794,9,1145,
hi,0.2,0.9,0.2868,0,1173,
hi,0.2,0.9,0.2868,1,1145,
hi,0.2,0.9,0.2868,2,1145,
hi,0.2,0.9,0.2868,3,1208,
hi,0.2,0.9,0.2868,4,1173,
hi,0.2,0.9,0.2868,5,1145,
hi,0.2,0.9,0.2868,6,1145,
hi,0.2,0.9,0.2868,7,1154,
hi,0.2,0.9,0.2868,8,1145,
hi,0.2,0.9,0.2868,9,1145,
hi,0.5,0.5,103.09278,0,1175,
hi,0.5,0.5,103.09278,1,1067,
hi,0.5,0.5,103.09278,2,1145,
hi,0.5,0.5,103.09278,3,1145,
hi,0.5,0.5,103.09278,4,1175,
hi,0.5,0.5,103.09278,5,1145,
hi,0.5,0.5,103.09278,6,1175,
hi,0.5,0.5,103.09278,7,1145,
hi,0.5,0.5,103.09278,8,1145,
hi,0.5,0.5,103.09278,9,1145,
hi,0.5,0.6,16.55629,0,1145,
hi,0.5,0.6,16.55629,1,1067,
hi,0.5,0.6,16.55629,2,1145,
hi,0.5,0.6,16.55629,3,1145,
hi,0.5,0.6,16.55629,4,1152,
hi,0.5,0.6,16.55629,5,1145,
hi,0.5,0.6,16.55629,6,1145,
hi,0.5,0.6,16.55629,7,1145,
hi,0.5,0.6,16.55629,8,1145,
hi,0.5,0.6,16.55629,9,1145,
hi,0.5,0.7,3.54107,0,1145,
hi,0.5,0.7,3.54107,1,1175,
hi,0.5,0.7,3.54107,2,1145,
hi,0.5,0.7,3.54107,3,1145,
hi,0.5,0.7,3.54107,4,1152,
hi,0.5,0.7,3.54107,5,1145,
hi,0.5,0.7,3.54107,6,1145,
hi,0.5,0.7,3.54107,7,1145,
hi,0.5,0.7,3.54107,8,1145,
hi,0.5,0.7,3.54107,9,1145,
hi,0.5,0.75,1.77588,0,1145,
hi,0.5,0.75,1.77588,1,1145,
hi,0.5,0.75,1.77588,2,1145,
hi,0.5,0.75,1.77588,3,1145,
