sim mode,gamma,epsilon,beta,seed,mean lifetime
lo,1,0.85,0.50794,1,939
lo,1,0.85,0.50794,2,941
lo,1,0.85,0.50794,3,941
lo,1,0.85,0.50794,4,941
lo,1,0.85,0.50794,5,941
lo,1,0.85,0.50794,6,940
lo,1,0.85,0.50794,7,939
lo,1,0.85,0.50794,8,941
lo,1,0.85,0.50794,9,941
lo,1,0.9,0.2868,0,937
lo,1,0.9,0.2868,1,927
lo,1,0.9,0.2868,2,941
lo,1,0.9,0.2868,3,941
lo,1,0.9,0.2868,4,941
lo,1,0.9,0.2868,5,941
lo,1,0.9,0.2868,6,941
lo,1,0.9,0.2868,7,936
lo,1,0.9,0.2868,8,944
lo,1,0.9,0.2868,9,945
lo,10,0.7,3.54107,0,945
lo,10,0.7,3.54107,1,937
lo,10,0.7,3.54107,2,939
lo,10,0.7,3.54107,3,951
lo,10,0.7,3.54107,4,946
lo,10,0.7,3.54107,5,945
lo,10,0.7,3.54107,6,925
lo,10,0.7,3.54107,7,941
lo,10,0.7,3.54107,8,941
lo,10,0.7,3.54107,9,941
lo,10,0.75,1.77588,0,936
lo,10,0.75,1.77588,1,941
lo,10,0.75,1.77588,2,939
lo,10,0.75,1.77588,3,951
lo,10,0.75,1.77588,4,936
lo,10,0.75,1.77588,5,945
lo,10,0.75,1.77588,6,951
lo,10,0.75,1.77588,7,926
lo,10,0.75,1.77588,8,942
lo,10,0.75,1.77588,9,941
lo,10,0.8,0.93135,0,946
lo,10,0.8,0.93135,1,941
lo,10,0.8,0.93135,2,939
lo,10,0.8,0.93135,3,940
lo,10,0.8,0.93135,4,936
lo,10,0.8,0.93135,5,953
lo,10,0.8,0.93135,6,925
lo,10,0.8,0.93135,7,934
lo,10,0.8,0.93135,8,937
lo,10,0.8,0.93135,9,927
lo,10,0.85,0.50794,0,931
lo,10,0.85,0.50794,1,929
lo,10,0.85,0.50794,2,939
lo,10,0.85,0.50794,3,951
lo,10,0.85,0.50794,4,942
lo,10,0.85,0.50794,5,938
lo,10,0.85,0.50794,6,942
lo,10,0.85,0.50794,7,957
lo,10,0.85,0.50794,8,951
lo,10,0.85,0.50794,9,925
lo,10,0.9,0.2868,0,945
lo,10,0.9,0.2868,1,937
lo,10,0.9,0.2868,2,953
lo,10,0.9,0.2868,3,951
lo,10,0.9,0.2868,4,936
lo,10,0.9,0.2868,5,939
lo,10,0.9,0.2868,6,925
lo,10,0.9,0.2868,7,945
lo,10,0.9,0.2868,8,951
lo,10,0.9,0.2868,9,941
lo,20,0.7,3.54107,0,948
lo,20,0.7,3.54107,1,926
lo,20,0.7,3.54107,2,946
lo,20,0.7,3.54107,3,950
lo,20,0.7,3.54107,4,931
lo,20,0.7,3.54107,5,954
lo,20,0.7,3.54107,6,925
lo,20,0.7,3.54107,7,915
lo,20,0.7,3.54107,8,943
lo,20,0.7,3.54107,9,927
lo,20,0.75,1.77588,0,953
lo,20,0.75,1.77588,1,925
lo,20,0.75,1.77588,2,946
lo,20,0.75,1.77588,3,958
lo,20,0.75,1.77588,4,933
lo,20,0.75,1.77588,5,926
lo,20,0.75,1.77588,6,925
lo,20,0.75,1.77588,7,908
lo,20,0.75,1.77588,8,941
lo,20,0.75,1.77588,9,927
lo,20,0.8,0.93135,0,933
lo,20,0.8,0.93135,1,939
lo,20,0.8,0.93135,2,946
lo,20,0.8,0.93135,3,958
lo,20,0.8,0.93135,4,944
lo,20,0.8,0.93135,5,926
lo,20,0.8,0.93135,6,925
lo,20,0.8,0.93135,7,951
lo,20,0.8,0.93135,8,945
lo,20,0.8,0.93135,9,927
lo,20,0.85,0.50794,0,931
lo,20,0.85,0.50794,1,938
lo,20,0.85,0.50794,2,946
lo,20,0.85,0.50794,3,937
lo,20,0.85,0.50794,4,933
lo,20,0.85,0.50794,5,934
lo,20,0.85,0.50794,6,923
lo,20,0.85,0.50794,7,912
lo,20,0.85,0.50794,8,945
lo,20,0.85,0.50794,9,927
lo,20,0.9,0.2868,0,933
lo,20,0.9,0.2868,1,939
lo,20,0.9,0.2868,2,959
lo,20,0.9,0.2868,3,958
lo,20,0.9,0.2868,4,933
lo,20,0.9,0.2868,5,934
lo,20,0.9,0.2868,6,925
lo,20,0.9,0.2868,7,954
lo,20,0.9,0.2868,8,945
lo,20,0.9,0.2868,9,927
