sim mode,gamma,epsilon,beta,seed,mean lifetime,
lo,20.0,0.8,0.93135,4,903,
lo,20.0,0.8,0.93135,5,932,
lo,20.0,0.8,0.93135,6,927,
lo,20.0,0.8,0.93135,7,902,
lo,20.0,0.8,0.93135,8,947,
lo,20.0,0.8,0.93135,9,923,
lo,20.0,0.85,0.50794,0,933,
lo,20.0,0.85,0.50794,1,923,
lo,20.0,0.85,0.50794,2,909,
lo,20.0,0.85,0.50794,3,951,
lo,20.0,0.85,0.50794,4,903,
lo,20.0,0.85,0.50794,5,953,
lo,20.0,0.85,0.50794,6,905,
lo,20.0,0.85,0.50794,7,922,
lo,20.0,0.85,0.50794,8,943,
lo,20.0,0.85,0.50794,9,923,
lo,20.0,0.9,0.2868,0,940,
lo,20.0,0.9,0.2868,1,930,
lo,20.0,0.9,0.2868,2,909,
lo,20.0,0.9,0.2868,3,929,
lo,20.0,0.9,0.2868,4,951,
lo,20.0,0.9,0.2868,5,932,
lo,20.0,0.9,0.2868,6,927,
lo,20.0,0.9,0.2868,7,931,
lo,20.0,0.9,0.2868,8,947,
lo,20.0,0.9,0.2868,9,923,
med,0.01,0.7,3.54107,0,953,
med,0.01,0.7,3.54107,1,942,
med,0.01,0.7,3.54107,2,942,
med,0.01,0.7,3.54107,3,964,
med,0.01,0.7,3.54107,4,951,
med,0.01,0.7,3.54107,5,956,
med,0.01,0.7,3.54107,6,949,
med,0.01,0.7,3.54107,7,954,
med,0.01,0.7,3.54107,8,954,
med,0.01,0.7,3.54107,9,948,
med,0.01,0.75,1.77588,0,953,
med,0.01,0.75,1.77588,1,942,
med,0.01,0.75,1.77588,2,942,
med,0.01,0.75,1.77588,3,964,
med,0.01,0.75,1.77588,4,951,
med,0.01,0.75,1.77588,5,964,
med,0.01,0.75,1.77588,6,949,
med,0.01,0.75,1.77588,7,952,
med,0.01,0.75,1.77588,8,954,
med,0.01,0.75,1.77588,9,948,
med,0.01,0.8,0.93135,0,953,
med,0.01,0.8,0.93135,1,942,
med,0.01,0.8,0.93135,2,942,
med,0.01,0.8,0.93135,3,964,
med,0.01,0.8,0.93135,4,951,
med,0.01,0.8,0.93135,5,964,
med,0.01,0.8,0.93135,6,949,
med,0.01,0.8,0.93135,7,954,
med,0.01,0.8,0.93135,8,962,
med,0.01,0.8,0.93135,9,950,
med,0.01,0.85,0.50794,0,953,
med,0.01,0.85,0.50794,1,942,
med,0.01,0.85,0.50794,2,951,
med,0.01,0.85,0.50794,3,964,
med,0.01,0.85,0.50794,4,951,
med,0.01,0.85,0.50794,5,966,
med,0.01,0.85,0.50794,6,951,
med,0.01,0.85,0.50794,7,954,
med,0.01,0.85,0.50794,8,962,
med,0.01,0.85,0.50794,9,944,
med,0.01,0.9,0.2868,0,953,
med,0.01,0.9,0.2868,1,942,
med,0.01,0.9,0.2868,2,951,
med,0.01,0.9,0.2868,3,964,
med,0.01,0.9,0.2868,4,924,
med,0.01,0.9,0.2868,5,966,
med,0.01,0.9,0.2868,6,944,
med,0.01,0.9,0.2868,7,963,
med,0.01,0.9,0.2868,8,969,
med,0.01,0.9,0.2868,9,954,
med,0.1,0.7,3.54107,0,960,
med,0.1,0.7,3.54107,1,944,
med,0.1,0.7,3.54107,2,942,
med,0.1,0.7,3.54107,3,949,
med,0.1,0.7,3.54107,4,944,
med,0.1,0.7,3.54107,5,948,
med,0.1,0.7,3.54107,6,944,
med,0.1,0.7,3.54107,7,954,
med,0.1,0.7,3.54107,8,949,
med,0.1,0.7,3.54107,9,948,
med,0.1,0.75,1.77588,0,964,
med,0.1,0.75,1.77588,1,944,
med,0.1,0.75,1.77588,2,949,
med,0.1,0.75,1.77588,3,949,
med,0.1,0.75,1.77588,4,944,
med,0.1,0.75,1.77588,5,948,
med,0.1,0.75,1.77588,6,944,
med,0.1,0.75,1.77588,7,953,
med,0.1,0.75,1.77588,8,949,
med,0.1,0.75,1.77588,9,954,
med,0.1,0.8,0.93135,0,960,
med,0.1,0.8,0.93135,1,944,
med,0.1,0.8,0.93135,2,949,
med,0.1,0.8,0.93135,3,949,
med,0.1,0.8,0.93135,4,944,
med,0.1,0.8,0.93135,5,948,
med,0.1,0.8,0.93135,6,944,
med,0.1,0.8,0.93135,7,960,
med,0.1,0.8,0.93135,8,949,
med,0.1,0.8,0.93135,9,954,
med,0.1,0.85,0.50794,0,960,
med,0.1,0.85,0.50794,1,944,
med,0.1,0.85,0.50794,2,941,
med,0.1,0.85,0.50794,3,949,
med,0.1,0.85,0.50794,4,944,
med,0.1,0.85,0.50794,5,948,
med,0.1,0.85,0.50794,6,944,
med,0.1,0.85,0.50794,7,960,
med,0.1,0.85,0.50794,8,956,
med,0.1,0.85,0.50794,9,954,
med,0.1,0.9,0.2868,0,954,
med,0.1,0.9,0.2868,1,944,
med,0.1,0.9,0.2868,2,941,
med,0.1,0.9,0.2868,3,949,
med,0.1,0.9,0.2868,4,949,
med,0.1,0.9,0.2868,5,949,
med,0.1,0.9,0.2868,6,944,
med,0.1,0.9,0.2868,7,962,
med,0.1,0.9,0.2868,8,954,
med,0.1,0.9,0.2868,9,949,
med,0.2,0.7,3.54107,0,962,
med,0.2,0.7,3.54107,1,944,
med,0.2,0.7,3.54107,2,960,
med,0.2,0.7,3.54107,3,953,
med,0.2,0.7,3.54107,4,960,
med,0.2,0.7,3.54107,5,962,
med,0.2,0.7,3.54107,6,948,
med,0.2,0.7,3.54107,7,960,
med,0.2,0.7,3.54107,8,953,
med,0.2,0.7,3.54107,9,960,
med,0.2,0.75,1.77588,0,962,
med,0.2,0.75,1.77588,1,957,
med,0.2,0.75,1.77588,2,960,
med,0.2,0.75,1.77588,3,953,
med,0.2,0.75,1.77588,4,949,
med,0.2,0.75,1.77588,5,962,
med,0.2,0.75,1.77588,6,948,
med,0.2,0.75,1.77588,7,960,
med,0.2,0.75,1.77588,8,960,
med,0.2,0.75,1.77588,9,962,
med,0.2,0.8,0.93135,0,962,
med,0.2,0.8,0.93135,1,929,
med,0.2,0.8,0.93135,2,960,
med,0.2,0.8,0.93135,3,953,
med,0.2,0.8,0.93135,4,969,
med,0.2,0.8,0.93135,5,962,
med,0.2,0.8,0.93135,6,948,
med,0.2,0.8,0.93135,7,960,
med,0.2,0.8,0.93135,8,960,
med,0.2,0.8,0.93135,9,962,
med,0.2,0.85,0.50794,0,962,
med,0.2,0.85,0.50794,1,944,
med,0.2,0.85,0.50794,2,960,
med,0.2,0.85,0.50794,3,953,
med,0.2,0.85,0.50794,4,962,
med,0.2,0.85,0.50794,5,962,
med,0.2,0.85,0.50794,6,944,
med,0.2,0.85,0.50794,7,960,
med,0.2,0.85,0.50794,8,956,
med,0.2,0.85,0.50794,9,962,
med,0.2,0.9,0.2868,0,962,
med,0.2,0.9,0.2868,1,944,
med,0.2,0.9,0.2868,2,953,
med,0.2,0.9,0.2868,3,954,
med,0.2,0.9,0.2868,4,962,
med,0.2,0.9,0.2868,5,954,
med,0.2,0.9,0.2868,6,948,
med,0.2,0.9,0.2868,7,956,
med,0.2,0.9,0.2868,8,956,
med,0.2,0.9,0.2868,9,962,
med,0.5,0.7,3.54107,0,970,
med,0.5,0.7,3.54107,1,960,
med,0.5,0.7,3.54107,2,960,
med,0.5,0.7,3.54107,3,960,
med,0.5,0.7,3.54107,4,969,
med,0.5,0.7,3.54107,5,962,
med,0.5,0.7,3.54107,6,960,
med,0.5,0.7,3.54107,7,969,
med,0.5,0.7,3.54107,8,962,
med,0.5,0.7,3.54107,9,962,
